cve,modAV
CVE-2018-6217,NETWORK
CVE-2018-6288,NETWORK
CVE-2018-6289,NETWORK
CVE-2018-6290,LOCAL
CVE-2018-6291,NETWORK
CVE-2018-6292,NETWORK
CVE-2018-6293,NETWORK
CVE-2018-6308,NETWORK
CVE-2018-6313,NETWORK
CVE-2018-6315,NETWORK
CVE-2018-6317,NETWORK
CVE-2018-6318,NETWORK
CVE-2018-6319,LOCAL
CVE-2018-6323,NETWORK
CVE-2018-6352,NETWORK
CVE-2018-6353,LOCAL
CVE-2018-6354,NETWORK
CVE-2018-6355,NETWORK
CVE-2018-6357,NETWORK
CVE-2018-6358,NETWORK
CVE-2018-6359,NETWORK
CVE-2018-6360,NETWORK
CVE-2018-6363,NETWORK
CVE-2018-6364,NETWORK
CVE-2018-6365,NETWORK
CVE-2018-6367,NETWORK
CVE-2018-6368,NETWORK
CVE-2018-6370,NETWORK
CVE-2018-6372,NETWORK
CVE-2018-6373,NETWORK
CVE-2018-6374,NETWORK
CVE-2018-6376,NETWORK
CVE-2018-6377,NETWORK
CVE-2018-6379,NETWORK
CVE-2018-6380,NETWORK
CVE-2018-6381,NETWORK
CVE-2018-6382,LOCAL
CVE-2018-6383,NETWORK
CVE-2018-6384,LOCAL
CVE-2018-6387,NETWORK
CVE-2018-6388,NETWORK
CVE-2018-6389,NETWORK
CVE-2018-6390,NETWORK
CVE-2018-6391,NETWORK
CVE-2018-6392,NETWORK
CVE-2018-6393,NETWORK
CVE-2018-6394,NETWORK
CVE-2018-6395,NETWORK
CVE-2018-6396,NETWORK
CVE-2018-6397,NETWORK
CVE-2018-6398,NETWORK
CVE-2018-6405,NETWORK
CVE-2018-6406,NETWORK
CVE-2018-6407,NETWORK
CVE-2018-6408,NETWORK
CVE-2018-6412,NETWORK
CVE-2018-6460,NETWORK
CVE-2018-6462,NETWORK
CVE-2018-6464,NETWORK
CVE-2018-6465,NETWORK
CVE-2018-6466,NETWORK
CVE-2018-6467,NETWORK
CVE-2018-6468,NETWORK
CVE-2018-6469,NETWORK
CVE-2018-6470,NETWORK
CVE-2018-6471,LOCAL
CVE-2018-6472,LOCAL
CVE-2018-6473,LOCAL
CVE-2018-6474,LOCAL
CVE-2018-6475,NETWORK
CVE-2018-6476,NETWORK
CVE-2018-6479,NETWORK
CVE-2018-6480,NETWORK
CVE-2018-6484,NETWORK
CVE-2018-6485,NETWORK
CVE-2018-6486,NETWORK
CVE-2018-6506,NETWORK
CVE-2018-6519,NETWORK
CVE-2018-6520,NETWORK
CVE-2018-6521,NETWORK
CVE-2018-6522,LOCAL
CVE-2018-6523,LOCAL
CVE-2018-6524,LOCAL
CVE-2018-6525,LOCAL
CVE-2018-6526,NETWORK
CVE-2018-6536,LOCAL
CVE-2018-6537,NETWORK
CVE-2018-6540,NETWORK
CVE-2018-6541,NETWORK
CVE-2018-6542,NETWORK
CVE-2018-6543,NETWORK
CVE-2018-6544,NETWORK
CVE-2018-6545,NETWORK
CVE-2018-6548,NETWORK
CVE-2018-6550,NETWORK
CVE-2018-6551,NETWORK
CVE-2018-6560,LOCAL
CVE-2018-6561,NETWORK
CVE-2018-6575,NETWORK
CVE-2018-6576,NETWORK
CVE-2018-6577,NETWORK
CVE-2018-6578,NETWORK
CVE-2018-6579,NETWORK
CVE-2018-6580,NETWORK
CVE-2018-6581,NETWORK
CVE-2018-6582,NETWORK
CVE-2018-6583,NETWORK
CVE-2018-6584,NETWORK
CVE-2018-6585,NETWORK
CVE-2018-6596,NETWORK
CVE-2018-6604,NETWORK
CVE-2018-6605,NETWORK
CVE-2018-6606,LOCAL
CVE-2018-6609,NETWORK
CVE-2018-6610,NETWORK
CVE-2018-6611,NETWORK
CVE-2018-6612,NETWORK
CVE-2018-6616,NETWORK
CVE-2018-6620,NETWORK
CVE-2018-6621,NETWORK
CVE-2018-6625,LOCAL
CVE-2018-6626,LOCAL
CVE-2018-6627,LOCAL
CVE-2018-6628,LOCAL
CVE-2018-6629,LOCAL
CVE-2018-6630,LOCAL
CVE-2018-6631,LOCAL
CVE-2018-6632,LOCAL
CVE-2018-6633,LOCAL
CVE-2018-6644,NETWORK
CVE-2018-6655,NETWORK
CVE-2018-6758,NETWORK
CVE-2018-6767,NETWORK
CVE-2018-6768,LOCAL
CVE-2018-6769,LOCAL
CVE-2018-6770,LOCAL
CVE-2018-6771,LOCAL
CVE-2018-6772,LOCAL
CVE-2018-6773,LOCAL
CVE-2018-6774,LOCAL
CVE-2018-6775,LOCAL
CVE-2018-6776,LOCAL
